GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
1500000US120110312022,120110312022,"Block Group 2, Census Tract 312.02, Broward County, Florida",65656,20096
1500000US120110312023,120110312023,"Block Group 3, Census Tract 312.02, Broward County, Florida",56131,18512
1500000US120110312031,120110312031,"Block Group 1, Census Tract 312.03, Broward County, Florida",73068,16529
1500000US120110312041,120110312041,"Block Group 1, Census Tract 312.04, Broward County, Florida",75152,51547
1500000US120110312042,120110312042,"Block Group 2, Census Tract 312.04, Broward County, Florida",45673,7114
1500000US120110312052,120110312052,"Block Group 2, Census Tract 312.05, Broward County, Florida",59476,7793
1500000US120110401011,120110401011,"Block Group 1, Census Tract 401.01, Broward County, Florida",77143,35871
1500000US120110401012,120110401012,"Block Group 2, Census Tract 401.01, Broward County, Florida",35909,8219
1500000US120110401021,120110401021,"Block Group 1, Census Tract 401.02, Broward County, Florida",67239,19471
1500000US120110401022,120110401022,"Block Group 2, Census Tract 401.02, Broward County, Florida",74375,37518
1500000US120110402031,120110402031,"Block Group 1, Census Tract 402.03, Broward County, Florida",56331,5283
1500000US120110402041,120110402041,"Block Group 1, Census Tract 402.04, Broward County, Florida",63778,10895
1500000US120110402052,120110402052,"Block Group 2, Census Tract 402.05, Broward County, Florida",56382,46896
1500000US120110402053,120110402053,"Block Group 3, Census Tract 402.05, Broward County, Florida",64875,24798
1500000US120110402061,120110402061,"Block Group 1, Census Tract 402.06, Broward County, Florida",51667,8182
1500000US120110402062,120110402062,"Block Group 2, Census Tract 402.06, Broward County, Florida",65417,20288
1500000US120110403001,120110403001,"Block Group 1, Census Tract 403, Broward County, Florida",38796,11380
1500000US120110403002,120110403002,"Block Group 2, Census Tract 403, Broward County, Florida",61413,41929
1500000US120110403003,120110403003,"Block Group 3, Census Tract 403, Broward County, Florida",45911,7712
1500000US120110404011,120110404011,"Block Group 1, Census Tract 404.01, Broward County, Florida",62537,19318
1500000US120110404021,120110404021,"Block Group 1, Census Tract 404.02, Broward County, Florida",115833,27838
1500000US120110404022,120110404022,"Block Group 2, Census Tract 404.02, Broward County, Florida",60993,45951
1500000US120110404023,120110404023,"Block Group 3, Census Tract 404.02, Broward County, Florida",46765,20356
1500000US120110405021,120110405021,"Block Group 1, Census Tract 405.02, Broward County, Florida",95375,34379
1500000US120110405022,120110405022,"Block Group 2, Census Tract 405.02, Broward County, Florida",70684,22075
1500000US120110405031,120110405031,"Block Group 1, Census Tract 405.03, Broward County, Florida",50020,11253
1500000US120110405041,120110405041,"Block Group 1, Census Tract 405.04, Broward County, Florida",77009,31916
1500000US120110405042,120110405042,"Block Group 2, Census Tract 405.04, Broward County, Florida",82109,24884
1500000US120110405043,120110405043,"Block Group 3, Census Tract 405.04, Broward County, Florida",155956,120615
1500000US120110406011,120110406011,"Block Group 1, Census Tract 406.01, Broward County, Florida",91442,27688
1500000US120110406012,120110406012,"Block Group 2, Census Tract 406.01, Broward County, Florida",73324,15026
1500000US120110406021,120110406021,"Block Group 1, Census Tract 406.02, Broward County, Florida",104727,24682
1500000US120110406022,120110406022,"Block Group 2, Census Tract 406.02, Broward County, Florida",123533,63280
1500000US120110406023,120110406023,"Block Group 3, Census Tract 406.02, Broward County, Florida",47717,21834
1500000US120110406024,120110406024,"Block Group 4, Census Tract 406.02, Broward County, Florida",128438,51522
1500000US120110407011,120110407011,"Block Group 1, Census Tract 407.01, Broward County, Florida",74900,17476
1500000US120110407012,120110407012,"Block Group 2, Census Tract 407.01, Broward County, Florida",61230,12975
1500000US120110407021,120110407021,"Block Group 1, Census Tract 407.02, Broward County, Florida",100106,37673
1500000US120110407022,120110407022,"Block Group 2, Census Tract 407.02, Broward County, Florida",43194,19916
1500000US120110407023,120110407023,"Block Group 3, Census Tract 407.02, Broward County, Florida",37265,8267
1500000US120110408012,120110408012,"Block Group 2, Census Tract 408.01, Broward County, Florida",31946,8609
